start_spot_id,end_spot_id,duration
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,048003f4-4ad9-4e7f-88cf-9637fb0721fa,7650.06
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,fecd99b0-9229-4239-b939-96a24679f76e,4856.16
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,79a280f6-df4f-4c93-b7e2-969e7a9bc531,4961.35
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,6c8ac646-b1a8-444e-9c7e-c61177303188,4960.01
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,36604c6c-5f9a-45a3-ae38-c503d062ac35,4847.450000000001
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,eea78748-5b46-40d7-8c91-797066562838,5051.130000000001
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,f0912053-e752-4eaf-bb96-71f0afeba847,4917.130000000001
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,70bb8c45-078e-41ab-b5c8-f03a551002a1,5481.9400000000005
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,1d278736-7b1d-43fa-afe2-f18cbb0a7040,5137.56
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,ab4424c4-8122-47b0-9c3c-79d48d334394,5112.1
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,1fac399e-9652-4a83-bc26-8ef848628e6a,4540.59
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,a80d10c9-1c8a-4896-9910-8ac890210c87,4515.13
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,3aadc2a4-2baa-4258-9506-d166c39c5036,4549.3
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,f261b19c-1505-4eab-bf90-ae7e28a69fa2,7524.1
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,2abbe5f5-7709-4128-9563-549125048162,7552.24
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,ff0e9fc1-06dc-4c04-b45f-89839d0494eb,7558.27
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,9a03a402-1213-4d44-ab87-8c12e9d60829,7600.4800000000005
fb1a256a-3b09-43e6-9cb9-0987cddf7b90,7560f891-425d-4f0a-9205-c73313fe7be6,7521.42
